songId,trackName,albumName,artists,length,genres,mood,link,playCount
43,Blueslides,BLUE LIPS,ScHoolboy Q,3:55,,RELAXED,spotify:track:7u1P36qRqrSNrXAp98cyp1,0
44,The Morning,House Of Balloons (Original),The Weeknd,5:14,,MELANCHOLIC,spotify:track:4jBfUB4kQJCWOrjGLQqhO0,0
45,Red Leather,WE STILL DON'T TRUST YOU,Future|Metro Boomin|J. Cole,6:54,rap,RELAXED,spotify:track:4Dx4e0X5dR6TW85dtFU42x,0
46,Poe Mans Dreams (His Vice) (feat. GLC),Section.80,Kendrick Lamar|GLC,4:21,hip hop,west coast hip hop,RELAXED,spotify:track:5eOmhymcp3AisKPVAytrs6,0
47,Escape From LA,After Hours,The Weeknd,5:55,,MELANCHOLIC,spotify:track:1sOW4PuG5X3Ie3EXUhAopJ,0
48,Blinding Lights,After Hours,The Weeknd,3:20,,RELAXED,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0
49,Small Worlds,Swimming,Mac Miller,4:31,,RELAXED,spotify:track:4gT3mNJA8lnlkYFqGZ8IA2,0
50,Too Deep for the Intro,Friday Night Lights,J. Cole,3:45,rap,HAPPY,spotify:track:3v6oMGduetl7GA67POX9Dm,0
51,The Autograph,Friday Night Lights,J. Cole,3:43,rap,RELAXED,spotify:track:58DM0MQw9eajfBVaNlte3k,0
52,Lights Please,The Warm Up,J. Cole,4:25,rap,RELAXED,spotify:track:6BOUq5AGwxbufEuHhTQ2qK,0
53,Losing My Balance (Bonus Track),The Warm Up,J. Cole,4:16,rap,RELAXED,spotify:track:4gKX5aqgUM1Y4NZh0eiQx7,0
54,Dreams,Fairytales,Fantasies (feat. Brent Faiyaz & Salaam Remi),Floor Seats,A$AP Ferg|Brent Faiyaz|Salaam Remi,3:42,rap,r&b,RELAXED,spotify:track:5oady7OSE7dH7LHiqmb3Cr,0
55,Feel No Ways,Views,Drake,4:00,rap,RELAXED,spotify:track:3cjF2OFRmip8spwZYQRKxP,0
56,Port Antonio,Port Antonio,J. Cole,5:16,rap,FOCUSED,spotify:track:74QLfg69aVm4Afw3VGhDTY,0
57,Lost Times (feat. Jozzy),BLUE LIPS,ScHoolboy Q|Jozzy,2:53,,RELAXED,spotify:track:5Nmij04oaIysHaRrSddHyM,0
58,What You Need,House Of Balloons (Original),The Weeknd,3:26,,MELANCHOLIC,spotify:track:4Yw8TyBm9J8cpy2guHUYog,0
59,Take Me Back To LA,Hurry Up Tomorrow,The Weeknd,4:13,,MELANCHOLIC,spotify:track:7rVmzyFA7f4rNGl9onF21E,0
60,Drive,Hurry Up Tomorrow,The Weeknd,3:08,,MELANCHOLIC,spotify:track:6i5fDaCzwxRrZtuvvcqoIf,0
61,Give Me Mercy,Hurry Up Tomorrow,The Weeknd,3:36,,RELAXED,spotify:track:0K3w6WNawZlv6Izmsrye8o,0
62,Enjoy The Show (feat. Future),Hurry Up Tomorrow,The Weeknd|Future,5:01,rap,RELAXED,spotify:track:637oNhilCI9UlkWkUW4Grt,0
63,Trippy (feat. J. Cole),Oxnard,Anderson .Paak|J. Cole,5:23,rap,RELAXED,spotify:track:2lRe5wBRm4xaSKTbDn2vLD,0
64,Man On The Moon,Man On The Moon: The End Of Day,Kid Cudi,3:31,,RELAXED,spotify:track:49JQdvXRFnXb08qv3KQN56,0
65,All I Want Is You (feat. J. Cole),All I Want Is You,Miguel|J. Cole,4:55,r&b,rap,HAPPY,spotify:track:5VA4Ispp52EA1sOqzMz3Av,0
66,You & The 6,If You're Reading This It's Too Late,Drake,4:24,rap,MELANCHOLIC,spotify:track:2YaDRtIlQiZ5WDDB2YuEOC,0
67,Take Care,Take Care (Deluxe),Drake|Rihanna,4:37,rap,MELANCHOLIC,spotify:track:124NFj84ppZ5pAxTuVQYCQ,0
68,Shot For Me,Take Care (Deluxe),Drake,3:44,rap,RELAXED,spotify:track:6Z01gUquJsjJC67uNWm6P0,0
69,Fire & Desire,Views,Drake,3:58,rap,MELANCHOLIC,spotify:track:4BhGTc3Cgay2U1QcTS7vQe,0
70,Paris Morton Music,Care Package,Drake,4:11,rap,MELANCHOLIC,spotify:track:73IE87H0g2MBmdn41lkVto,0
71,Always,NEVER ENOUGH,Daniel Caesar,3:45,,RELAXED,spotify:track:2LlOeW5rVcvl3QcPNPcDus,0
72,Valentina,NEVER ENOUGH,Daniel Caesar,2:34,,MELANCHOLIC,spotify:track:0b83L1ToHRiwlpmUAjiCHc,0
73,Cherish the Day,Love Deluxe,Sade,5:32,,RELAXED,spotify:track:22QiTJqDn1BIRSh4mkNJ5w,0
74,Like a Tattoo,Love Deluxe,Sade,3:38,,MELANCHOLIC,spotify:track:4PEGwWH4tL6H7dGl4uVSPg,0
75,Let Me Go,NEVER ENOUGH,Daniel Caesar,3:36,,RELAXED,spotify:track:3ym8ajVmKm6Fybgov3WBI5,0
76,Peso,LIVE.LOVE.A$AP,A$AP Rocky,2:49,rap,RELAXED,spotify:track:3tTpvK7QgjjQCKGnHt5xn3,0
77,way back,Birds In The Trap Sing McKnight,Travis Scott,4:32,rap,FOCUSED,spotify:track:2Zy7XVdxyZQB8xp5xbpJdl,0
78,Crooked Smile (feat. TLC),Born Sinner,J. Cole|TLC,4:38,rap,RELAXED,spotify:track:6JG0qhINKVwiHxqN85j7RG,0
79,Dark Thoughts,Dark Thoughts,Lil Tecca,2:16,melodic rap,rap,HAPPY,spotify:track:7EW7Yivb93qKAtp5qEm5of,0
80,White Iverson,Stoney,Post Malone,4:16,,RELAXED,spotify:track:1Bi5t0q9j3nYXIZuZgSGvr,0
81,Waves,1999,Joey Bada$$,3:31,hip hop,rap,jazz rap,HAPPY,spotify:track:3AM2ihc5RFzbC47eCpTg2I,0
